Name;Group;Played;GoalsF;GoalsA
Switzerland;A;10;22;11
Hungary;A;8;16;7
Scotland;A;8;17;8
Germany;A;11;18;21
Albania;B;8;12;4
Spain;B;8;25;5
Croatia;B;8;13;4
Italy;B;8;16;9
Slovenia;C;10;20;9
Denmark;C;10;19;10
England;C;8;22;4
Serbia;C;8;15;9
France;D;8;29;3
Netherlands;D;8;17;7
Austria;D;8;17;7
Poland;D;8;10;10
Romania;E;10;16;5
Ukraine;E;8;11;8
Slovakia;E;10;17;8
Belgium;E;8;22;4
Georgia;F;8;12;18
Czech Republic;F;8;12;6
Turkey;F;8;14;7
Portugal;F;10;36;2
